"new_nc_name","Damaged or unsanitary Vehicle","Other","Vehicle improperly parked (lay","Parked on Private Property","Unpermitted Company and/or veh","Sidewalk Riding","Vehicle listed as available, b","Low Battery"
"ARLETA NC",1,1,1,0,0,0,0,0
"ARROYO SECO NC",0,0,1,0,0,0,0,0
"ARTS DISTRICT LITTLE TOKYO NC",6,15,641,133,1,0,0,0
"ATWATER VILLAGE NC",0,2,4,1,0,0,0,0
"BEL AIR-BEVERLY CREST NC",0,0,4,1,0,0,0,0
"BOYLE HEIGHTS NC",1,11,37,2,0,0,0,0
"CANOGA PARK NC",2,0,0,0,0,0,0,0
"CENTRAL ALAMEDA NC",0,2,1,0,0,0,0,0
"CENTRAL HOLLYWOOD NC",27,680,1147,114,1,1,1,0
"CENTRAL SAN PEDRO NC",0,2,16,4,0,0,0,0
"CHATSWORTH NC",1,0,0,0,0,0,0,0
"COASTAL SAN PEDRO NC",0,1,12,0,0,0,0,0
"COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU)",0,0,1,0,0,0,0,0
"DEL REY NC",2,3,165,19,1,0,0,1
"DOWNTOWN LOS ANGELES",23,86,2566,277,2,2,3,1
"EAGLE ROCK NC",2,1,7,1,0,0,0,0
"EAST HOLLYWOOD NC",4,4,101,11,0,1,0,1
"ECHO PARK NC",3,11,218,18,0,0,0,0
"ELYSIAN VALLEY RIVERSIDE NC",0,0,1,0,0,0,0,0
"EMPOWERMENT CONGRESS CENTRAL AREA NC",2,1,3,0,0,0,0,0
"EMPOWERMENT CONGRESS NORTH AREA NC",1,20,230,27,0,0,1,0
"EMPOWERMENT CONGRESS SOUTHEAST AREA NDC",3,3,4,0,0,0,2,0
"EMPOWERMENT CONGRESS SOUTHWEST AREA NDC",0,1,1,0,0,0,0,0
"EMPOWERMENT CONGRESS WEST AREA NDC",0,1,2,0,0,0,0,0
"ENCINO NC",0,0,7,0,0,0,0,0
"FOOTHILL TRAILS DISTRICT NC",3,0,0,0,0,0,0,0
"GLASSELL PARK NC",0,0,1,0,0,0,0,0
"GRANADA HILLS SOUTH NC",0,0,1,0,0,0,0,0
"GREATER CYPRESS PARK NC",2,0,2,0,0,0,0,0
"GREATER TOLUCA LAKE NC",0,0,7,4,0,2,0,0
"GREATER VALLEY GLEN",0,1,4,0,0,0,0,1
"GREATER WILSHIRE NC",5,2,99,18,1,0,1,0
"HARBOR GATEWAY NORTH NC",3,1,1,0,0,0,0,0
"HARBOR GATEWAY SOUTH NC",1,0,0,0,0,0,0,0
"HISTORIC CULTURAL NORTH NC",1,12,285,50,0,0,0,0
"HISTORIC HIGHLAND PARK NC",1,0,3,2,0,0,0,0
"HOLLYWOOD HILLS WEST NC",12,333,266,27,2,0,0,0
"HOLLYWOOD STUDIO DISTRICT NC",5,16,287,37,0,0,1,0
"HOLLYWOOD UNITED NC",6,81,206,17,0,2,1,1
"LA-32 NC",0,0,1,0,0,0,0,0
"LAKE BALBOA NC",0,0,1,0,0,0,0,0
"LINCOLN HEIGHTS NC",1,3,16,3,0,0,0,0
"LOS FELIZ NC",1,9,114,22,0,0,0,0
"MACARTHUR PARK NC",1,0,76,1,0,0,0,0
"MAR VISTA NC",1,27,120,7,0,0,0,0
"MID CITY NC",2,3,17,0,0,0,0,1
"MID CITY WEST CC",1,6,249,23,0,1,1,0
"MISSION HILLS NC",0,1,2,0,0,0,0,0
"NC VALLEY VILLAGE",1,0,13,13,2,0,0,0
"NOHO NC",2,2,107,23,0,14,0,0
"NORTH HILLS WEST NC",0,1,0,0,0,0,0,0
"NORTH HOLLYWOOD NORTH EAST NC",3,2,5,1,1,0,0,0
"NORTH WESTWOOD NC",1,0,110,3,0,7,0,1
"NORTHRIDGE EAST NC",0,24,15,0,9,0,0,0
"NORTHRIDGE SOUTH NC",1,3,2,0,0,0,0,0
"NORTHRIDGE WEST NC",0,0,3,0,1,0,0,0
"NORTHWEST SAN PEDRO NC",0,0,2,0,0,0,0,0
"OLYMPIC PARK NC",0,2,22,4,0,0,0,0
"P.I.C.O. NC",0,0,4,1,0,0,0,1
"PACOIMA NC",2,1,0,0,0,0,0,0
"PALMS NC",1,6,77,10,0,0,0,0
"PANORAMA CITY NC",0,1,0,0,0,0,0,0
"PARK MESA HEIGHTS NC",0,1,0,0,0,0,0,0
"PICO UNION NC",4,1,132,10,0,0,0,0
"PORTER RANCH NC",0,0,1,0,0,0,0,0
"RAMPART VILLAGE NC",3,14,182,40,0,0,0,0
"RESEDA NC",5,3,0,1,0,1,0,0
"SHERMAN OAKS NC",2,1,19,2,0,0,0,0
"SILVER LAKE NC",0,12,85,3,0,0,0,0
"SOUTH CENTRAL NC",2,3,34,5,0,0,0,0
"SOUTH ROBERTSON NC",0,4,10,0,0,0,0,0
"STUDIO CITY NC",0,3,26,2,0,0,0,0
"SUNLAND-TUJUNGA NC",0,1,0,0,0,0,0,0
"SYLMAR NC",1,0,2,1,0,0,0,1
"TARZANA NC",2,1,1,1,0,0,0,0
"UNITED NEIGHBORHOODS NC",3,2,8,0,0,0,0,0
"VAN NUYS NC",0,1,6,3,0,0,0,0
"VENICE NC",84,65,3986,192,4,0,3,1
"VOICES NC",0,3,9,0,0,0,0,0
"WATTS NC",0,1,0,0,0,0,1,0
"WEST ADAMS NC",0,0,2,0,0,0,0,0
"WEST LOS ANGELES SAWTELLE NC",1,0,49,5,1,0,0,1
"WESTCHESTER/PLAYA NC",1,0,10,1,0,0,0,0
"WESTLAKE NORTH NC",0,0,47,8,0,0,0,0
"WESTLAKE SOUTH NC",3,4,116,4,0,0,0,0
"WESTSIDE NC",0,0,5,0,1,0,0,0
"WESTWOOD NC",0,2,49,2,0,0,0,0
"WILMINGTON NC",1,2,1,0,0,0,0,0
"WILSHIRE CENTER - KOREATOWN NC",6,13,353,35,0,0,1,0
"WINNETKA NC",1,1,1,0,0,0,0,0
"WOODLAND HILLS-WARNER CENTER NC",2,0,4,0,0,0,0,0
"ZAPATA-KING NC",1,2,9,0,0,0,1,0
